City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
67,Kavieng,PG,2022-09-07  23-43-41,-2.5744,150.7967,85.08,69,69,12.86
68,Forio,IT,2022-09-07  23-43-41,40.7342,13.8646,78.42,88,75,9.75
69,Vaini,TO,2022-09-07  23-43-41,-21.2,-175.2,82.56,83,40,9.22
70,Hermanus,ZA,2022-09-07  23-43-42,-34.4187,19.2345,53.8,88,23,8.05
71,Barrow,US,2022-09-07  23-43-42,71.2906,-156.7887,50.02,71,20,6.91
72,Tuktoyaktuk,CA,2022-09-07  23-43-42,69.4541,-133.0374,42.8,93,100,12.66
73,Bredasdorp,ZA,2022-09-07  23-43-43,-34.5322,20.0403,47.95,94,24,1.57
74,Sur,OM,2022-09-07  23-43-43,22.5667,59.5289,79.0,70,0,8.68
75,Bowen,AU,2022-09-07  23-43-43,-20.0167,148.2333,72.75,66,9,12.19
76,Sawai Madhopur,IN,2022-09-07  23-43-44,25.9833,76.3667,81.66,65,91,1.25
77,Xichang,CN,2022-09-07  23-43-44,27.8964,102.2634,62.89,92,100,1.63
78,Yuanping,CN,2022-09-07  23-43-44,38.7153,112.7575,62.65,53,66,1.79
79,Esna,EG,2022-09-07  23-43-45,25.2934,32.554,82.42,35,0,8.41
80,Porto Santo,PT,2022-09-07  23-43-45,33.072,-16.3415,71.98,83,20,8.05
81,Kodiak,US,2022-09-07  23-43-45,57.79,-152.4072,54.91,82,100,9.22
82,Beringovskiy,RU,2022-09-07  23-43-46,63.05,179.3167,45.99,61,5,6.35
83,Bandarbeyla,SO,2022-09-07  23-43-46,9.4942,50.8122,76.73,76,9,24.65
84,Lebu,CL,2022-09-07  23-43-46,-37.6167,-73.65,44.4,69,35,9.53
85,Chumikan,RU,2022-09-07  23-43-46,54.7183,135.315,55.58,61,99,25.64
86,Sundumbili,ZA,2022-09-07  23-43-47,-29.1337,31.3975,59.99,87,0,5.88
87,Tricase,IT,2022-09-07  23-43-47,39.9304,18.3553,70.95,68,3,7.2
88,Leningradskiy,RU,2022-09-07  23-43-47,69.3833,178.4167,45.75,50,4,9.22
89,Masumbwe,TZ,2022-09-07  23-43-48,-3.6333,32.1833,66.0,85,99,0.45
90,Yellowknife,CA,2022-09-07  23-43-51,62.456,-114.3525,52.32,62,75,14.97
91,Kaitangata,NZ,2022-09-07  23-43-51,-46.2817,169.8464,50.61,53,83,0.83
92,Aleksandrovka,UA,2022-09-07  23-43-52,46.8383,32.7612,52.27,45,0,2.82
93,Berlevag,NO,2022-09-07  23-43-52,70.8578,29.0864,48.2,92,100,22.15
94,Cidreira,BR,2022-09-07  23-43-52,-30.1811,-50.2056,60.67,94,18,9.04
95,Thompson,CA,2022-09-07  23-43-53,55.7435,-97.8558,73.56,31,75,8.05
96,Ourinhos,BR,2022-09-07  23-43-53,-22.9789,-49.8706,64.51,80,33,5.28
97,Severo-Kurilsk,RU,2022-09-07  23-38-58,50.6789,156.125,55.94,94,100,16.53
98,Hilo,US,2022-09-07  23-43-53,19.7297,-155.09,88.29,73,40,8.05
99,Guozhen,CN,2022-09-07  23-43-54,34.3659,107.359,67.73,90,100,1.41
100,Sitka,US,2022-09-07  23-43-54,57.0531,-135.33,62.49,59,75,10.36
101,Tomatlan,MX,2022-09-07  23-43-54,19.9333,-105.25,82.56,81,100,4.9
102,Whitianga,NZ,2022-09-07  23-43-55,-36.8333,175.7,55.54,63,17,3.02
103,Longyearbyen,SJ,2022-09-07  23-41-16,78.2186,15.6401,40.84,93,75,4.61
104,Avarua,CK,2022-09-07  23-42-16,-21.2078,-159.775,78.85,73,8,17.27
105,Praia Da Vitoria,PT,2022-09-07  23-43-55,38.7333,-27.0667,77.25,88,75,13.24
106,Codrington,AU,2022-09-07  23-43-55,-38.2667,141.9667,56.14,93,100,17.45
107,Parker,US,2022-09-07  23-43-56,32.7668,-97.8003,92.91,42,3,4.0
108,Goundam,ML,2022-09-07  23-43-56,16.4145,-3.6708,89.33,43,58,6.13
109,Biak,ID,2022-09-07  23-43-56,-0.9131,122.8766,78.31,80,87,3.33
110,Abu Dhabi,AE,2022-09-07  23-39-39,24.4667,54.3667,87.91,71,0,1.14
111,Laguna,US,2022-09-07  23-43-57,38.421,-121.4238,111.06,15,0,5.75
112,Belyy Yar,RU,2022-09-07  23-43-57,53.6039,91.3903,73.29,46,0,13.42
113,Pudozh,RU,2022-09-07  23-43-57,61.8099,36.5345,36.28,94,59,4.68
114,Norman Wells,CA,2022-09-07  23-43-58,65.282,-126.8329,59.04,41,75,9.22
115,Tiksi,RU,2022-09-07  23-43-58,71.6872,128.8694,43.65,80,98,5.46
116,Naze,JP,2022-09-07  23-43-58,28.3667,129.4833,81.52,72,90,10.18
117,Comodoro Rivadavia,AR,2022-09-07  23-43-59,-45.8667,-67.5,35.46,93,100,4.61
